"user_id","dept_id","coupon_id","coupon_no","order_id","use_flg","date_created","date_changed","last_changed"
"N000000004","0","0000000001","1","","0","2019/07/22 19:58:16","2019/07/22 19:58:16","ロゾパンサン"
"N000000004","0","0000000002","2","","0","2019/07/22 20:33:23","2019/07/22 20:33:23","ロゾパンサン"
